dateTime,Temperature(°C)
6/22/2022 9:00,17.98
6/22/2022 9:05,17.98
6/22/2022 9:10,17.86
6/22/2022 9:15,17.22
6/22/2022 9:20,16.96
6/22/2022 9:25,16.77
6/22/2022 9:30,16.58
6/22/2022 9:35,17.48
6/22/2022 9:40,16.58
6/22/2022 9:45,16.06
6/22/2022 9:50,15.96
6/22/2022 9:55,15.93
6/22/2022 10:00,16.06
6/22/2022 10:05,15.93
6/22/2022 10:10,16.12
6/22/2022 10:15,16.19
6/22/2022 10:20,16.19
6/22/2022 10:25,16.32
6/22/2022 10:30,16.29
6/22/2022 10:35,16.19
6/22/2022 10:40,16.19
6/22/2022 10:45,16.19
6/22/2022 10:50,16.45
6/22/2022 10:55,16.58
6/22/2022 11:00,18.11
6/22/2022 11:05,18.86
6/22/2022 11:10,18.86
6/22/2022 11:15,18.86
6/22/2022 11:20,18.86
6/22/2022 11:25,18.86
6/22/2022 11:30,18.86
6/22/2022 11:35,18.86
6/22/2022 11:40,18.86
6/22/2022 11:45,18.8
6/22/2022 11:50,18.73
6/22/2022 11:55,18.73
6/22/2022 12:00,18.73
6/22/2022 12:05,18.73
6/22/2022 12:10,18.73
6/22/2022 12:15,18.73
6/22/2022 12:20,18.73
6/22/2022 12:25,18.73
6/22/2022 12:30,18.73
6/22/2022 12:35,18.73
6/22/2022 12:40,18.73
6/22/2022 12:45,18.73
6/22/2022 12:50,18.7
6/22/2022 12:55,18.64
6/22/2022 13:00,18.64
6/22/2022 13:05,18.64
6/22/2022 13:10,18.67
6/22/2022 13:15,18.67
6/22/2022 13:20,18.73
6/22/2022 13:25,18.73
6/22/2022 13:30,18.73
6/22/2022 13:35,18.73
6/22/2022 13:40,18.73
6/22/2022 13:45,18.73
6/22/2022 13:50,18.73
6/22/2022 13:55,18.73
6/22/2022 14:00,18.73
6/22/2022 14:05,18.73
6/22/2022 14:10,18.73
6/22/2022 14:15,18.73
6/22/2022 14:20,18.73
6/22/2022 14:25,18.73
6/22/2022 14:30,18.73
6/22/2022 14:35,18.73
6/22/2022 14:40,18.73
6/22/2022 14:45,18.73
6/22/2022 14:50,18.73
6/22/2022 14:55,18.73
6/22/2022 15:00,18.73
6/22/2022 15:05,18.73
6/22/2022 15:10,18.73
6/22/2022 15:15,18.73
6/22/2022 15:20,18.73
6/22/2022 15:25,18.73
6/22/2022 15:30,18.73
6/22/2022 15:35,18.73
6/22/2022 15:40,18.73
6/22/2022 15:45,18.73
6/22/2022 15:50,18.73
6/22/2022 15:55,18.73
6/22/2022 16:00,18.73
6/22/2022 16:05,18.73
6/22/2022 16:10,18.73
6/22/2022 16:15,18.73
6/22/2022 16:20,18.73
6/22/2022 16:25,18.73
6/22/2022 16:30,18.73
6/22/2022 16:35,18.73
6/22/2022 16:40,18.73
6/22/2022 16:45,18.73
6/22/2022 16:50,18.73
6/22/2022 16:55,18.73
6/22/2022 17:00,18.73
6/22/2022 17:05,18.73
6/22/2022 17:10,18.73
6/22/2022 17:15,18.73
6/22/2022 17:20,18.73
6/22/2022 17:25,18.73
6/22/2022 17:30,18.73
6/22/2022 17:35,18.73
6/22/2022 17:40,18.73
6/22/2022 17:45,18.73
6/22/2022 17:50,18.73
6/22/2022 17:55,18.73
6/22/2022 18:00,18.73
6/22/2022 18:05,18.73
6/22/2022 18:10,18.73
6/22/2022 18:15,18.73
6/22/2022 18:20,18.73
6/22/2022 18:25,18.73
6/22/2022 18:30,18.73
6/22/2022 18:35,18.73
6/22/2022 18:40,18.73
6/22/2022 18:45,18.73
6/22/2022 18:50,18.73
6/22/2022 18:55,18.73
6/22/2022 19:00,18.73
6/22/2022 19:05,18.73
6/22/2022 19:10,18.7
6/22/2022 19:15,18.67
6/22/2022 19:20,18.64
6/22/2022 19:25,18.64
6/22/2022 19:30,18.61
6/22/2022 19:35,18.61
6/22/2022 19:40,18.61
6/22/2022 19:45,18.61
6/22/2022 19:50,18.61
6/22/2022 19:55,18.61
6/22/2022 20:00,18.61
6/22/2022 20:05,18.61
6/22/2022 20:10,18.61
6/22/2022 20:15,18.61
6/22/2022 20:20,18.61
6/22/2022 20:25,18.61
6/22/2022 20:30,18.48
6/22/2022 20:35,18.48
6/22/2022 20:40,18.36
6/22/2022 20:45,18.23
6/22/2022 20:50,18.11
6/22/2022 20:55,17.98
6/22/2022 21:00,17.98
6/22/2022 21:05,17.92
6/22/2022 21:10,17.89
6/22/2022 21:15,17.89
6/22/2022 21:20,17.89
6/22/2022 21:25,17.89
6/22/2022 21:30,17.89
6/22/2022 21:35,17.86
6/22/2022 21:40,17.86
6/22/2022 21:45,17.86
6/22/2022 21:50,17.86
6/22/2022 21:55,17.86
6/22/2022 22:00,17.86
6/22/2022 22:05,17.86
6/22/2022 22:10,17.86
6/22/2022 22:15,17.86
6/22/2022 22:20,17.86
6/22/2022 22:25,17.86
6/22/2022 22:30,17.86
6/22/2022 22:35,17.79
6/22/2022 22:40,17.73
6/22/2022 22:45,17.73
6/22/2022 22:50,17.73
6/22/2022 22:55,17.73
6/22/2022 23:00,17.73
6/22/2022 23:05,17.73
6/22/2022 23:10,17.73
6/22/2022 23:15,17.73
6/22/2022 23:20,17.73
6/22/2022 23:25,17.73
6/22/2022 23:30,17.73
6/22/2022 23:35,17.73
6/22/2022 23:40,17.73
6/22/2022 23:45,17.73
6/22/2022 23:50,17.73
6/22/2022 23:55,17.73
6/23/2022 0:00,17.73
6/23/2022 0:05,17.7
6/23/2022 0:10,17.7
6/23/2022 0:15,17.63
6/23/2022 0:20,17.63
6/23/2022 0:25,17.6
6/23/2022 0:30,17.6
6/23/2022 0:35,17.6
6/23/2022 0:40,17.6
6/23/2022 0:45,17.6
6/23/2022 0:50,17.6
6/23/2022 0:55,17.6
6/23/2022 1:00,17.6
6/23/2022 1:05,17.6
6/23/2022 1:10,17.6
6/23/2022 1:15,17.6
6/23/2022 1:20,17.6
6/23/2022 1:25,17.6
6/23/2022 1:30,17.6
6/23/2022 1:35,17.6
6/23/2022 1:40,17.6
6/23/2022 1:45,17.6
